theta,t
93.0,23.0
92.0,42.0
91.0,75.0
90.0,110.0
89.0,140.0
88.0,170.0
87.0,200.0
86.0,235.0
85.0,280.0
84.0,315.0
83.0,370.0
82.0,400.0
81.0,450.0
80.0,498.0
79.0,560.0
78.0,605.0
77.0,670.0
76.0,735.0
75.0,800.0
74.0,860.0
73.0,900.0
72.0,967.0
71.0,1025.0
70.0,1090.0
69.0,1190.0
68.0,1260.0
67.0,1370.0
66.0,1440.0
65.0,1540.0
64.0,1610.0
63.0,1730.0
62.0,1840.0
61.0,1920.0
60.0,2040.0
59.0,2130.0
58.0,2250.0
57.0,2410.0
56.0,2515.0
55.0,2680.0
54.0,2790.0
53.0,2980.0
52.0,3120.0
51.0,3320.0
50.0,3510.0
49.0,3630.0
48.0,3780.0
47.0,3996.0
46.0,4280.0
45.0,4480.0
44.0,4750.0
43.0,5051.0
42.0,5260.0
41.0,5580.0
40.0,6000.0
